,,pumps,pumps,pumps,pumps,exploded,reward,confidence,target_pumps,trial_id
,,mean,std,min,max,mean,mean,mean,mean,count
agent_name,temperature,,,,,,,,,
Cautious Thinker,0.3,4.733,0.704,3,5,0.133,0.21,0.857,4.733,15
Cautious Thinker,0.6000000000000001,4.067,1.438,1,5,0.267,0.177,0.82,4.867,15
Cautious Thinker,0.9,4.2,0.941,3,5,0.0,0.21,0.833,4.2,15
Easily Tired Agent,0.3,2.733,0.704,1,3,0.067,0.133,0.88,2.867,15
Easily Tired Agent,0.6000000000000001,2.667,0.724,1,3,0.133,0.123,0.823,2.867,15
Easily Tired Agent,0.9,2.333,0.9,1,3,0.2,0.093,0.84,2.467,15
